VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,trip_duration_min
2,2024-01-24 19:59:42,2024-01-24 20:10:10,1.0,1.61,1.0,N,107,249,1,11.4,2.5,0.5,4.47,0.0,1.0,22.37,2.5,0.0,10.466666666666669
2,2024-01-24 19:43:18,2024-01-24 19:47:10,1.0,0.69,1.0,N,68,68,1,5.8,2.5,0.5,3.08,0.0,1.0,15.38,2.5,0.0,3.866666666666667
1,2024-01-08 10:15:56,2024-01-08 10:42:48,1.0,5.0,1.0,N,68,87,1,26.8,2.5,0.5,6.15,0.0,1.0,36.95,2.5,0.0,26.866666666666667
2,2024-01-17 17:38:49,2024-01-17 17:45:29,1.0,1.09,1.0,N,239,238,1,8.6,2.5,0.5,3.02,0.0,1.0,18.12,2.5,0.0,6.666666666666667
2,2024-01-09 16:13:51,2024-01-09 16:31:07,1.0,2.93,1.0,N,161,211,1,18.4,2.5,0.5,6.22,0.0,1.0,31.12,2.5,0.0,17.266666666666666
2,2024-01-30 15:23:17,2024-01-30 15:40:22,1.0,1.94,1.0,N,161,234,1,15.6,0.0,0.5,3.92,0.0,1.0,23.52,2.5,0.0,17.083333333333332
1,2024-01-10 15:54:18,2024-01-10 16:03:34,1.0,1.4,1.0,N,164,229,1,10.7,2.5,0.5,1.47,0.0,1.0,16.17,2.5,0.0,9.266666666666667
2,2024-01-12 08:39:16,2024-01-12 08:49:34,1.0,1.51,1.0,N,246,170,1,11.4,0.0,0.5,2.0,0.0,1.0,17.4,2.5,0.0,10.3
2,2024-01-27 18:41:02,2024-01-28 00:00:00,1.0,2.38,1.0,N,261,158,1,14.2,0.0,0.5,3.64,0.0,1.0,21.84,2.5,0.0,318.96666666666664
1,2024-01-11 00:21:29,2024-01-11 00:24:23,2.0,0.7,1.0,N,170,234,1,5.8,3.5,0.5,2.16,0.0,1.0,12.96,2.5,0.0,2.9
1,2024-01-11 10:41:15,2024-01-11 10:51:58,1.0,1.5,1.0,N,162,107,1,10.7,2.5,0.5,2.95,0.0,1.0,17.65,2.5,0.0,10.716666666666669
2,2024-01-05 08:07:19,2024-01-05 08:18:24,1.0,0.94,1.0,N,100,163,1,10.7,0.0,0.5,2.94,0.0,1.0,17.64,2.5,0.0,11.083333333333334
2,2024-01-20 18:48:42,2024-01-20 19:11:33,1.0,0.73,1.0,N,186,230,1,19.1,0.0,0.5,4.62,0.0,1.0,27.72,2.5,0.0,22.85
1,2024-01-28 12:28:13,2024-01-28 12:43:13,1.0,1.8,99.0,N,119,42,1,18.5,0.0,0.5,0.0,0.0,1.0,20.0,0.0,0.0,15.0
2,2024-01-03 11:41:40,2024-01-03 11:53:47,1.0,1.03,1.0,N,68,48,1,11.4,0.0,0.5,2.0,0.0,1.0,17.4,2.5,0.0,12.116666666666667
2,2024-01-24 15:57:45,2024-01-24 16:07:46,1.0,0.97,1.0,N,43,142,1,10.7,0.0,0.5,2.94,0.0,1.0,17.64,2.5,0.0,10.016666666666667
1,2024-01-02 18:03:51,2024-01-02 19:03:14,2.0,20.5,2.0,N,148,132,2,70.0,7.5,0.5,0.0,0.0,1.0,79.0,2.5,0.0,59.38333333333333
2,2024-01-22 07:51:50,2024-01-22 08:04:27,,2.93,,,4,231,0,16.45,0.0,0.5,0.0,0.0,1.0,20.45,,,12.616666666666667
2,2024-01-15 20:07:58,2024-01-15 20:15:14,2.0,1.73,1.0,N,162,141,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0,7.266666666666667
2,2024-01-29 04:09:46,2024-01-29 04:16:39,1.0,1.67,5.0,N,68,48,1,20.0,0.0,0.0,4.7,0.0,1.0,28.2,2.5,0.0,6.883333333333334
1,2024-01-09 15:48:26,2024-01-09 16:14:57,1.0,2.5,1.0,N,162,263,1,22.6,5.0,0.5,3.0,0.0,1.0,32.1,2.5,0.0,26.516666666666666
1,2024-01-04 16:29:17,2024-01-04 16:43:46,0.0,2.3,1.0,N,237,264,1,15.6,5.0,0.5,4.4,0.0,1.0,26.5,2.5,0.0,14.483333333333333
2,2024-01-14 11:04:25,2024-01-14 11:13:34,3.0,1.42,1.0,N,161,100,2,10.0,0.0,0.5,0.0,0.0,1.0,14.0,2.5,0.0,9.15
2,2024-01-24 17:54:29,2024-01-24 18:18:49,1.0,2.18,1.0,N,162,246,1,21.2,2.5,0.5,5.0,0.0,1.0,32.7,2.5,0.0,24.33333333333333
1,2024-01-23 15:44:35,2024-01-23 16:19:32,1.0,4.5,1.0,N,231,237,1,28.9,2.5,0.5,5.0,0.0,1.0,37.9,2.5,0.0,34.95
2,2024-01-13 10:47:38,2024-01-13 10:49:24,1.0,0.6,1.0,N,170,164,1,5.1,0.0,0.5,2.28,0.0,1.0,11.38,2.5,0.0,1.7666666666666666
2,2024-01-13 17:54:55,2024-01-13 18:06:55,3.0,4.44,1.0,N,263,194,2,19.1,0.0,0.5,0.0,6.94,1.0,30.04,2.5,0.0,12.0
2,2024-01-18 20:29:56,2024-01-18 20:56:42,,6.79,,,230,74,0,30.89,0.0,0.5,0.0,0.0,1.0,34.89,,,26.766666666666666
2,2024-01-13 02:47:56,2024-01-13 03:07:49,,2.94,,,79,161,0,15.94,0.0,0.5,0.0,0.0,1.0,19.94,,,19.883333333333333
2,2024-01-11 16:29:37,2024-01-11 16:38:51,1.0,1.3,1.0,N,68,48,1,10.7,2.5,0.5,2.0,0.0,1.0,19.2,2.5,0.0,9.233333333333333
1,2024-01-31 13:27:45,2024-01-31 13:36:51,1.0,0.7,1.0,N,230,163,4,9.3,2.5,0.5,0.0,0.0,1.0,13.3,2.5,0.0,9.1
2,2024-01-26 19:08:33,2024-01-26 19:19:03,1.0,1.67,1.0,N,43,163,1,12.1,2.5,0.5,3.72,0.0,1.0,22.32,2.5,0.0,10.5
2,2024-01-31 18:31:55,2024-01-31 18:39:59,2.0,1.09,1.0,N,140,229,1,9.3,2.5,0.5,1.5,0.0,1.0,17.3,2.5,0.0,8.066666666666668
2,2024-01-05 16:05:47,2024-01-05 16:22:01,1.0,4.24,1.0,N,132,218,1,21.2,2.5,0.5,5.04,0.0,1.0,31.99,0.0,1.75,16.233333333333334
